symbol,signal_time,entry_price,limit_entry,confidence,rsi,macd_hist,vol_spike_ratio,signal_count,rsi_cross,macd_cross,ema_cross,vol_spike,stop_loss,trailing_activate,take_profit,status,peak_price,exit_price,exit_time,exit_reason,pnl_pct,atr,trailing_distance,block_reason,sent_btc_4h_rsi,sent_basis,sent_ls_ratio,sent_oi_delta,sent_breadth,sent_score,sent_threshold
KATUSDT,2026-04-01 12:30:00 UTC,0.01017,0.010145,0.6867,43.3,1.5e-05,2.5,1,False,False,False,True,0.010099,0.010231,0.010373,closed,0.01019,0.01009881,2026-04-01 13:01:19 UTC,stop_loss,-0.7,,,,,,,,,,
PAXGUSDT,2026-04-01 12:45:00 UTC,4714.32,4713.78,0.667,52.8,0.749577,2.03,1,False,False,False,True,4681.31976,4742.60592,4808.6064,closed,4779.57,4760.45172,2026-04-01 18:00:26 UTC,trailing_stop,0.979,,,,,,,,,,
KATUSDT,2026-04-01 13:00:00 UTC,0.01013,0.010085,0.7632,40.6,4e-06,2.22,1,False,False,False,True,0.010059,0.010191,0.010333,closed,0.0102,0.0101592,2026-04-01 13:18:57 UTC,trailing_stop,0.288,,,,,,,,,,
ZBTUSDT,2026-04-01 13:00:00 UTC,0.0988,0.0971,0.8129,62.3,0.000476,1.3,1,False,False,True,False,0.098108,0.099393,0.100776,closed,0.1005,0.100098,2026-04-01 13:21:41 UTC,trailing_stop,1.314,,,,,,,,,,
KERNELUSDT,2026-04-01 13:00:00 UTC,0.1157,0.1112,0.8788,73.7,0.001425,5.84,1,False,False,False,True,0.11489,0.116394,0.118014,closed,0.1178,0.1173288,2026-04-01 13:16:09 UTC,trailing_stop,1.408,,,,,,,,,,
STOUSDT,2026-04-01 13:30:00 UTC,0.3706,0.3693,0.8514,82.3,0.008199,5.53,1,False,False,False,True,0.368006,0.372824,0.378012,closed,0.3729,0.3680058,2026-04-01 13:45:43 UTC,stop_loss,-0.7,,,,,,,,,,
NOMUSDT,2026-04-01 13:30:00 UTC,0.00683,0.00664,0.8966,72.5,2.1e-05,5.05,2,False,True,False,True,0.006782,0.006871,0.006967,closed,0.00683,0.00678219,2026-04-01 13:45:43 UTC,stop_loss,-0.7,,,,,,,,,,
ZBTUSDT,2026-04-01 13:30:00 UTC,0.0973,0.09715,0.7643,56.6,0.000534,3.02,1,False,False,False,True,0.096619,0.097884,0.099246,closed,0.098,0.097608,2026-04-01 13:47:01 UTC,trailing_stop,0.317,,,,,,,,,,
KERNELUSDT,2026-04-01 13:30:00 UTC,0.1115,0.1106,0.8948,63.5,0.001491,2.47,1,False,False,False,True,0.110719,0.112169,0.11373,closed,0.1132,0.1127472,2026-04-01 13:47:33 UTC,trailing_stop,1.119,,,,,,,,,,
BLURUSDT,2026-04-01 13:30:00 UTC,0.02556,0.02486,0.9026,70.7,0.000186,2.73,1,False,False,False,True,0.025381,0.025713,0.026071,closed,0.02556,0.02538108,2026-04-01 13:45:42 UTC,stop_loss,-0.7,,,,,,,,,,
XPLUSDT,2026-04-01 17:15:00 UTC,0.1058,0.10575,0.808,80.2,0.000499,1.63,1,False,True,False,False,0.105059,0.106435,0.107916,closed,0.1069,0.1064724,2026-04-01 17:39:37 UTC,trailing_stop,0.636,,,,,,,,,,
ONTUSDT,2026-04-01 17:15:00 UTC,0.12328,0.123055,0.828,82.0,0.000413,0.63,1,False,True,False,False,0.122417,0.12402,0.125746,closed,0.12405,0.1235538,2026-04-01 17:34:14 UTC,trailing_stop,0.222,,,,,,,,,,
NIGHTUSDT,2026-04-01 17:15:00 UTC,0.04658,0.046435,0.9416,52.4,2e-05,1.78,2,True,True,False,False,0.046254,0.046859,0.047512,closed,0.04731,0.04712076,2026-04-01 18:06:23 UTC,trailing_stop,1.161,,,,,,,,,,
KATUSDT,2026-04-01 17:15:00 UTC,0.01034,0.0103,0.9319,57.4,9e-06,1.07,2,True,True,False,False,0.010268,0.010402,0.010547,closed,0.01036,0.01026762,2026-04-01 17:43:17 UTC,stop_loss,-0.7,,,,,,,,,,
KATUSDT,2026-04-01 18:00:00 UTC,0.0103,0.01027,0.8995,54.5,2.1e-05,0.75,1,False,False,True,False,0.010228,0.010362,0.010506,closed,0.01036,0.0102279,2026-04-01 19:19:43 UTC,stop_loss,-0.7,,,,,,,,,,
KERNELUSDT,2026-04-01 18:00:00 UTC,0.13,0.12645,0.8515,79.0,0.002608,2.49,1,False,False,False,True,0.12909,0.13078,0.1326,closed,0.1306,0.12909,2026-04-01 18:15:29 UTC,stop_loss,-0.7,,,,,,,,,,
NIGHTUSDT,2026-04-01 18:15:00 UTC,0.04777,0.047465,0.849,64.5,0.000295,0.63,1,False,False,True,False,0.047436,0.048057,0.048725,closed,0.0487,0.0485052,2026-04-01 18:56:27 UTC,trailing_stop,1.539,,,,,,,,,,
TRXUSDT,2026-04-01 18:30:00 UTC,0.3162,0.31595,0.7003,60.0,7e-06,1.82,2,False,True,True,False,0.313987,0.318097,0.322524,closed,0.3162,0.3144,2026-04-03 19:05:21 UTC,time_exit,-0.569,,,,,,,,,,
SIGNUSDT,2026-04-03 23:00:00 UTC,0.03613,0.035955,0.7582,63.6,2.347e-05,0.54,1,False,True,False,False,0.03538487,0.03687513,0.03762025,closed,0.037,0.03662744,2026-04-04 02:00:35 UTC,trailing_stop,1.377,0.00074513,0.00037256,,,,,,,,
BANKUSDT,2026-04-06 23:30:00 IST,0.0422,0.0405,0.8832,76.4,0.001806,5.04,1,False,False,False,True,0.03979877,0.04460123,0.04700246,closed,0.0422,0.03979877,2026-04-15 21:30:05 IST,stop_loss,-5.69,0.00240123,0.00120062,,74.0,-0.00046612927212034646,0.5085995085995085,-0.057027349172181566,66.7,-1.0,0.82
